figure,panel,task,scenario,stage,tier,metric,estimate,ci_lower,ci_upper,category,status,note
4,A,perioperative_ecg,,train,I3,model_class_attainable_value_nats,-0.006290435255,,,,,Signed train-OOF descriptive contrast
4,A,perioperative_ecg,,train,I3,model_class_gap_nats,-0.003463391823,,,,,Signed train-OOF descriptive contrast
4,B,cardiac_surgery,,train,I0,implemented_ifv_nats,0.00752961802926,,,,,Signed train-OOF descriptive contrast
4,B,cardiac_surgery,,train,I0,model_class_attainable_value_nats,0.009959365389,,,,,Signed train-OOF descriptive contrast
4,B,cardiac_surgery,,train,I0,model_class_gap_nats,0.00242974736,,,,,Signed train-OOF descriptive contrast
4,B,cardiac_surgery,,train,I1,implemented_ifv_nats,0.00818831953383,,,,,Signed train-OOF descriptive contrast
4,B,cardiac_surgery,,train,I1,model_class_attainable_value_nats,0.01237432878,,,,,Signed train-OOF descriptive contrast
4,B,cardiac_surgery,,train,I1,model_class_gap_nats,0.004186009246,,,,,Signed train-OOF descriptive contrast
4,B,cardiac_surgery,,train,I2,implemented_ifv_nats,-0.00111156627338,,,,,Signed train-OOF descriptive contrast
4,B,cardiac_surgery,,train,I2,model_class_attainable_value_nats,-0.002354872552,,,,,Signed train-OOF descriptive contrast
4,B,cardiac_surgery,,train,I2,model_class_gap_nats,-0.001243306279,,,,,Signed train-OOF descriptive contrast
4,B,cardiac_surgery,,train,I3,implemented_ifv_nats,-0.000373796940337,,,,,Signed train-OOF descriptive contrast
4,B,cardiac_surgery,,train,I3,model_class_attainable_value_nats,-0.001064065212,,,,,Signed train-OOF descriptive contrast
4,B,cardiac_surgery,,train,I3,model_class_gap_nats,-0.000690268272,,,,,Signed train-OOF descriptive contrast
3,A,perioperative_ecg,,train,,implemented_saturation_normalized,0.040664216602,0.030695177906,0.0502617707393,,,Low-information minus high-information implemented value; pointwise interval
